"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract"
"Onuean A.; Lee D.; Jung H.","Onuean, Athita (57172932100); Lee, Daesung (57211735691); Jung, Hanmin (10739443400)","57172932100; 57211735691; 10739443400","Traffic safety recommendation using combined accident and speeding data","2020","Journal of Information and Communication Convergence Engineering","10.6109/jicce.2020.18.1.49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083704024&doi=10.6109%2fjicce.2020.18.1.49&partnerID=40&md5=9684a132bbd50a5ed2b3fa2263d220db","Speed enforcement is one of the major challenges in traffic safety. The increasing number of accidents and fatalities has led governments to respond by implementing an intelligent control system. For example, the Korean government implemented a speed camera system for maintaining road safety. However, many drivers still engage in speeding behavior in blackspot areas where speed cameras are not provided. Therefore, we propose a methodology to analyze the combined accident and speeding data to offer recommendations to maintain traffic safety. We investigate three factors: ""section,"" ""existing speed camera location,"" and ""over speeding data."" To interpret the results, we used the QGIS tool for visualizing the spatial distribution of the incidents. Finally, we provide four recommendations based on the three aforementioned factors: ""investigate with experts,"" ""no action,"" ""install fixed speed cameras,"" and ""deploy mobile speed cameras."" © 2020 The Korea Institute of Information and Communication Engineering."
"Nhut L.M.; Pham T.-T.; Tran T.-D.; Huan V.D.; Shin S.","Nhut, Le Minh (55233653400); Pham, Thanh-Tuan (57192949013); Tran, Tien-Dung (57699976000); Huan, Vu Dinh (58068868300); Shin, Seoyong (7403646683)","55233653400; 57192949013; 57699976000; 58068868300; 7403646683","Design of Optical Collimator System for Vehicle Speed Gun using Non-Imaging Optics","2023","International Journal of Renewable Energy Development","10.14710/ijred.2023.49910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149528079&doi=10.14710%2fijred.2023.49910&partnerID=40&md5=061aa7d9650ff5464cdded23f40b77ab","Vehicle speed guns are usually used in normal sunlight conditions (daytime). If we want to use vehicle speed guns in low light conditions (nighttime), the illuminator is needed to provide sufficient light for the vehicle speed gun to take photos. The illuminator must fulfill two requirements: (i) using the infrared wavelength to ensure that the driver is not startled by dazzling eyes by the illuminator of the proposed speed gun system and (ii) high energy efficiency to make the illuminator compact leading to the use a small battery system to improve the portable of the proposed vehicle speed gun. In this study, an illuminator using a collimator system designed by using non-imaging optics is introduced. LEDs with infrared wavelength are chosen from the library of LightTools™, the structure of collimated is designed to transfer the illumination from the LEDs array to a square area of 3x3 m2 to cover the vehicle to detect the vehicle number plate. The design process is built based on the conservation of optical path length in the Matlab program. After that, the designed collimator is simulated in LightTools™ software. The promising results of the simulation in LightTools™ show that the collimator can efficiently transfer light from the LED array to the target area with a uniformity of about 70 % and optical efficiency of about 80 %. © 2023. The Author(s)."
"","","","International Conference on Transportation and Development 2023: Transportation Planning, Operations, and Transit - Selected Papers from the International Conference on Transportation and Development 2023","2023","International Conference on Transportation and Development 2023: Transportation Safety and Emerging Technologies - Selected Papers from the International Conference on Transportation and Development 2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165901911&partnerID=40&md5=e80291d7b2498472f4f90c9605b98ee4","The proceedings contain 110 papers. The topics discussed include: implications of resistance to automated speed enforcement and red-light camera implementation; modeling and state estimation of autonomous vehicles in signalized intersections; estimation of crash reductions with lane departure or keeping technology; transportation network vulnerability enhancement study; impact of autonomous vehicles on traffic crashes in comparison with conventional vehicles; snowflake schema-based data warehouse for analyzing crash, citation, and warning traffic safety records; sustainable solutions and practices implemented at airports in the western US; robustness analysis for China’s airport network based on multi-layer temporal complex network model; technological review of charging demand and distribution models for electric vehicles; a comparative analysis between machine learning and econometric approaches for travel mode choice modeling; and developing a cost-effective mobile-based system for collecting on-demand road condition images for snowplow operations management."
"de Franco Peixoto C.; Françoso M.T.","de Franco Peixoto, Creso (55615812600); Françoso, Maria Teresa (55571429900)","55615812600; 55571429900","The Safety Highway Geometry Based on Unbalanced Centripetal Acceleration","2022","Sustainable Civil Infrastructures","10.1007/978-3-030-79801-7_59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128969790&doi=10.1007%2f978-3-030-79801-7_59&partnerID=40&md5=43e8f09a4eb3e5a6ef4b6cfdf8eea05c","Road accidents take a significant part in the human lives losses and financial resources in worldwide sense. In order to devise new strategies to combat this problem there is a continuous search for new approaches from researchers, dealers and government agencies. Recent changes in the Brazilian traffic code, such as the increase of the score limit on the driver qualification and the restrictions on speed enforcement, imposed a new operational scenario. Speeding should increase and, consequently, reflecting more accidents and severity. A proposed model in this work has several equations, correlating road geometry parameters and accident record indexes. This model can be applied as an objective policy tool of physical improvements and speed reduction focusing on accident severity and amount. It was taken the unbalanced centripetal acceleration on horizontal curves as the main derived term, generated mainly by excess of speed in relation to the allowed one, under the Physics and human restrictions criteria. There were selected some Brazilian road segments to apply this model, conceiving specific equations and evaluating confidence under determination coefficient, that resulted a good level to the selected place. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"Ya'u Gital A.; Abdulhamid M.; Abdulhameed M.; Zambuk F.U.; Nehemiah M.; Lawal M.A.; Yakubu Z.I.","Ya'u Gital, Abdulsalam (56743339200); Abdulhamid, Mahmood (57886145600); Abdulhameed, Muhammed (55670276900); Zambuk, Fatima Umar (57028493400); Nehemiah, Musa (57223245544); Lawal, Mustapha Abdulrahman (57664974100); Yakubu, Zahraddeen Ismail (57362416900)","56743339200; 57886145600; 55670276900; 57028493400; 57223245544; 57664974100; 57362416900","Review of GPS-GSM Based Intelligent Speed Assistance Systems: Development and Research Opportunities","2023","2023 3rd International Conference on Intelligent Communication and Computational Techniques, ICCT 2023","10.1109/ICCT56969.2023.10076115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152202889&doi=10.1109%2fICCT56969.2023.10076115&partnerID=40&md5=f206e42a1b5c50d7c922241ec17fa837","About two billion passenger cars travel the roads of the world and this is projected to double by the year 2050. This calls for the need to create real time surveillance systems to manage the impending dangers of on-road traffic and to meet the objective of intelligent transport systems (ITS). Nowadays, speed control and monitoring is mostly handled using speed law enforcement measures, such as speed bumps, speed limits, signs, speed guns, road designs, speed cameras and intelligent speed assistance (ISA). Previous surveys have not given enough attention to the application of Global Positioning System (GPS) combined with Global System for Mobile Communication (GSM) based ISA systems with respect to their types. To fill this gap, this review aims to study the different development and applications of GPS and GSM based ISA systems with the focus on their types, technology and analysis environment. Although, the development of ISA systems is not recent, the full potentials of using ISA systems are still a persistent pursuit. The study concludes by highlighting limitations and research opportunities mined from the reviewed papers to enable improvements and novel researches from the ITS research community and vehicle manufacturers' companies.  © 2023 IEEE."
"Praveen Kumar R.; Smys S.; Raj J.S.; Kamarajan M.","Praveen Kumar, R. (57188626251); Smys, S. (35732489900); Raj, Jennifer S. (35732055600); Kamarajan, M. (58353430600)","57188626251; 35732489900; 35732055600; 58353430600","A Cyber-Safety IoT-Enabled Wearable Microstrip Antenna for X-Band Applications","2022","Lecture Notes on Data Engineering and Communications Technologies","10.1007/978-981-16-1866-6_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111999821&doi=10.1007%2f978-981-16-1866-6_2&partnerID=40&md5=2be827648502281c805266d3566d6ec9","In recent days, wearable antennas are getting adequate attention in many areas. The antennas should be lightweight and its should be easily integrated with other systems. To match with the system requirements, conduction mode of textiles and conductive threads are used in many places. A specified shape (badge) microstrip wearable antenna for X-band applications is proposed. The specified shape (badge) antenna is simulated using CST MW Studio. Two different parameter antennas were designed and proposed with one slot in and the size is 1 mm. The specified badge-shaped antenna is structured with rectangular substrate and rectangular ground, whereas the radiating element will be in badge shaped. The specified antenna consists of four conductive threads in truncated patch and a circular ring patch antenna. The antennas are placed in indoor and outdoor positioning. This antenna was embedded on the top of the military beret. The proposed specified shape antenna is embedded for vehicle movement detection. This proposed antenna is often used in speed gun which is used to detect the real-time speed of the vehicle. The different parameters like frequency, voltage standing wave ratio, E-Field, S11 parameter and H-Field were analyzed using simulation tool. The working frequency will be 10.483 GHz for both antennas. The standing wave ratio for antenna with slot will be 1.37 and without slot will be around 1.34. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd."
"Shaaban K.; Mohammad A.; Eleimat A.","Shaaban, Khaled (56094870800); Mohammad, Anas (58252656400); Eleimat, Ahid (58087857900)","56094870800; 58252656400; 58087857900","Identifying Optimal Locations for Speed Enforcement Cameras","2023","Transportation Research Record","10.1177/03611981221125213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146808017&doi=10.1177%2f03611981221125213&partnerID=40&md5=434ec0037d7617c36e18cc261736e0a3","Speed enforcement cameras are used to improve traffic safety. These cameras are usually placed in areas with significant crashes related to speeding. However, in many countries, detailed crash data are not available or are of poor quality. This study aims to propose and explore three simple ranking methods for identifying optimal locations for speed enforcement cameras that do not depend on crash records. The first method is based on the Star Rating Scores and the traffic volume data. The second method relies on developing a data-driven model for predicting speeding violation rate (VR) based on road geometry aspects and comparing it with available road segment crash risk. The third method uses a combination of the first two methods. The proposed methods and prediction models were applied to a case study and successfully identified the optimal location for speed enforcement cameras. The developed prediction models suggest that speed limit, junction spacing, and the number of access points per kilometer are the most common variables to estimate speed VRs for both urban and rural roads. Availability of service roads and the number of lanes were variables that affect the speed VR on urban roads only. The proposed methods are considered valuable simple tools for road safety practitioners to effectively prepare speed enforcement plans for different road networks. © National Academy of Sciences."
"Yasar A.; Adnan M.; Ectors W.; Wets G.","Yasar, Ansar (17347063800); Adnan, Muhammad (57202148581); Ectors, Wim (57189459276); Wets, Geert (55697067400)","17347063800; 57202148581; 57189459276; 55697067400","Comparison review on LIDAR technologies vs. RADAR technologies in speed enforcement system","2023","Personal and Ubiquitous Computing","10.1007/s00779-023-01736-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169574098&doi=10.1007%2fs00779-023-01736-x&partnerID=40&md5=5db956865ba51a3248e85ba0548ffbe3","Traffic accidents are continuously rising in many countries all over the world. Violation of road safety regulations and traffic laws is one of major reason to this increasing trend. Existing intelligent transportation systems (ITS) to date are accurately enforcing safe municipal speed limits using enforcement technology solutions. The systems for automated traffic enforcement emerged in the last decade. Automated enforcement technologies provide opportunity to remotely capture images of drivers violating laws. RADAR/LIDAR-based tools are used to determine the speed of vehicles. Choosing the right speed detection technology is an area of significant concern for transportation agencies. This paper presents a comparison review of the use of LIDAR technologies vs. RADAR technologies in traffic enforcement systems. The current trend suggests an inclination toward LIDAR technology because of many advantages, particularly its precise identification of violators; especially, this functionality is being required in case of new travel modes (such e-bikes and e-scooty) emerged in urban areas. However, the objectives and available resources of enforcement programs are key factors that may result in growth in relation to demand for both types of technologies. © 2023, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature."
"Borsati M.; Cascarano M.; Bazzana F.","Borsati, Mattia (57211282714); Cascarano, Michele (57208581443); Bazzana, Flavio (6504074477)","57211282714; 57208581443; 6504074477","On the impact of average speed enforcement systems in reducing highway accidents: Evidence from the Italian Safety Tutor","2019","Economics of Transportation","10.1016/j.ecotra.2019.100123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073284124&doi=10.1016%2fj.ecotra.2019.100123&partnerID=40&md5=958e18fe98c84a7d9bd63b91299b92dd","At the end of 2005, Autostrade per l'Italia (ASPI) and the Italian traffic police progressively deployed along the Italian tolled motorway network an average speed enforcement system, named Safety Tutor, able to determine the average speed of vehicles over a long section to encourage drivers to comply with speed limits and improve safety. The aim of this study was to empirically test the extent to which Safety Tutor led to a reduction in both total and fatal accidents on Italian highways during the period of 2001–2017. To do so, we carried out a generalized difference-in-differences estimation using a unique panel dataset that exploits the heterogeneous accident data within all tolled motorway sectors in a quasi-experimental setting. To deal with the potential endogeneity of the non-random placement of Safety Tutor sites, we utilized an instrumental variable strategy by using the network of motorway sectors managed by ASPI and its controlled concessionaires from 2005 onwards (i.e., when the technology was available) as an instrument to predict Safety Tutor adoption. We found that a 10% increase in Safety Tutor coverage led to an average reduction in total accidents of 3.9%, whereas there is no evidence of a significant causal effect of Safety Tutor in reducing fatal accidents. © 2019 Elsevier Ltd"
"Akin D.; Raja A.A.; AlAteah A.H.; Almonbhi A.O.; Sisiopiku V.P.; Al-Sodani K.A.A.","Akin, Darcin (16066763600); Raja, Arsalan A. (57214800037); AlAteah, Ali H. (57782670500); Almonbhi, Ali O. (57219142079); Sisiopiku, Virginia P. (6602560935); Al-Sodani, Khaled A.A. (56811457300)","16066763600; 57214800037; 57782670500; 57219142079; 6602560935; 56811457300","Modeling the effects of speed limit cameras (SLCs) on air quality and traffic flow on access-controlled highways","2023","Atmospheric Pollution Research","10.1016/j.apr.2023.101920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172268653&doi=10.1016%2fj.apr.2023.101920&partnerID=40&md5=9727b040bd801ba762db168a88a0c63c","The impact of speed limit cameras (SLCs) on speed limit enforcement and traffic safety has long been studied. However, the effects of SLCs on air quality have not been thoroughly investigated due to the lack of data at sites where both air quality and traffic flow measurements (such as speed and volume) are monitored in close proximity to SLCs. This study aims to quantify the effect of SLCs on air quality and traffic flow parameters on access-controlled highways using linear regression models (LRM) and generalized additive models (GAM). The latter allows the modeling of nonlinear functional relationships between the predictor and outcome variables. We collected experimental data, including traffic flow parameters, weather conditions, and air pollutants (CO, CO2, NO2, SO2, and VOC), on high-volume, high-speed access-controlled highways in the wider metropolitan area of Dammam, Saudi Arabia. Key parameters related to traffic, such as volume, speed, percentage of heavy-duty vehicles (HDV), and percentage of traffic exceeding the speed limit, were used to estimate air pollutant generation from vehicular exhaust emissions near highway locations. Our analysis of the collected data revealed that locations with SLCs showed higher adherence to the speed limit of 120 km/h. The 85th percentile speed at these sites was approximately 114 km/h, which was 11 percent lower than that at the no-camera sites. Additionally, field data demonstrated a significant reduction in CO and SO2 emissions at the camera locations by approximately 23.7 and 20.3 percent, respectively. However, at these locations, the CO2, NO2, and VOC gas concentrations increased slightly, ranging from 1.5 to 4.9 percent. The predictive capabilities of the GAMs for gas emissions were higher than those of the LRMs, except for CO2 emissions. The GAM results identified optimal speed values between 110 km/h and 130 km/h to minimize vehicle emissions. Furthermore, the GAM results indicated that SLC locations had significantly lower concentrations of exhaust gas emissions for CO, SO2, and VOC, but higher levels of CO2 and NO2 gases. Thus, the field data and GAM results were in agreement for all gases except VOC. These findings have implications for shaping environmental transportation policies and guidelines, highlighting the multifaceted impact of SLCs on both traffic behavior and air quality. © 2023 Turkish National Committee for Air Pollution Research and Control"
"Marshall E.; Shirazi M.; Shahlaee A.; Ivan J.N.","Marshall, Ennis (57890060100); Shirazi, Mohammadali (56396299100); Shahlaee, Amir (57926773900); Ivan, John N. (7006456612)","57890060100; 56396299100; 57926773900; 7006456612","Leveraging probe data to model speeding on urban limited access highway segments: Examining the impact of operational performance, roadway characteristics, and COVID-19 pandemic","2023","Accident Analysis and Prevention","10.1016/j.aap.2023.107038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152626423&doi=10.1016%2fj.aap.2023.107038&partnerID=40&md5=f9aa607a1ed6037c24800d942f954d7c","Stay-at-home orders - imposed to prevent the spread of COVID-19 - drastically changed the way highways operate. Despite lower traffic volumes during these times, the rate of fatal and serious injury crashes increased significantly across the United States due to increased speeding on roads with less traffic congestion and lower levels of speed enforcement. This paper uses a mixed effect binomial regression model to investigate the impact of stay-at-home orders on odds of speeding on urban limited access highway segments in Maine and Connecticut. This paper also establishes a link between traffic density and the odds of speeding. For this purpose, hourly speed and volume probe data were collected on limited access highway segments for the U.S. states of Maine and Connecticut to estimate the traffic density. The traffic density was then combined with the roadway geometric characteristics, speed limit, as well as dummy variables denoting the time of the week, time of the day, COVID-19 phases (before, during and after stay-at-home order), and the interactions between them. Density, represented in the model as Level of Service, was found to be associated with the odds of speeding, with better levels of service such as A, or B (low density) resulting in the higher odds that drivers would speed. We also found that narrower shoulder width could result in lower odds of speeding. Furthermore, we found that during the stay-at-home order, the odds of speeding by more than 10, 15, and 20 mph increased respectively by 54%, 71% and 85% in Connecticut, and by 15%, 36%, and 65% in Maine during evening peak hours. Additionally, one year after the onset of the pandemic, during evening peak hours, the odds of speeding greater than 10, 15, and 20 mph were still 35%, 29%, and 19% greater in Connecticut and 35% 35% and 20% greater in Maine compared to before pandemic. © 2023 Elsevier Ltd"
"Bell J.; Rogers S.; Mathew J.; Li H.; Bullock D.","Bell, Jack (57219286281); Rogers, Steven (57219282238); Mathew, Jijo (57195414710); Li, Howell (55903949000); Bullock, Darcy (35607845100)","57219286281; 57219282238; 57195414710; 55903949000; 35607845100","Comparing Speed Distribution of Micro-Mobility Modes","2020","International Conference on Transportation and Development 2020: Traffic and Bike/Pedestrian Operations - Selected Papers from the International Conference on Transportation and Development 2020","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092016641&partnerID=40&md5=a99ee566d11bf0d33d38538fc83ccd2a","In the past 2 years dockless electric scooters, shared bikes, and electric skateboards have risen in popularity and are being integrated into the urban transportation ecosystem. As these micro-mobility devices increase in prevalence, several cities have raised concerns about their safe operating speeds and interaction with pedestrians and vehicles. This study collected travel speeds for pedestrians, bicycles, electric scooters (e-scooters), skateboards, and electric skateboards (e-skateboards). A total of 754 travel speeds were recorded using a laser speed gun setup on bike paths, sidewalks, and streets. Results show that around 95% of e-scooter and 93% of bicycle speeds recorded were below 15 mi per hour (mph). Interestingly, more than 50% of e-skateboard speeds were above 15 mph, with 4% above 20 mph. Statistical tests were also performed to compare the mean speeds of all the modes. There was statistically significant difference in speeds between all of the above mentioned transportation modes, with the exception of bicycle and scooter speeds.  © 2020 American Society of Civil Engineers."
"Badshah A.; Abbas G.; Waqas M.; Muhammad F.; Abbas Z.H.; Bilal M.; Song H.","Badshah, Akhtar (57207791657); Abbas, Ghulam (57203423498); Waqas, Muhammad (58334080200); Muhammad, Fazal (57190385759); Abbas, Ziaul Haq (35202913400); Bilal, Muhammad (56562681700); Song, Houbing (58659012800)","57207791657; 57203423498; 58334080200; 57190385759; 35202913400; 56562681700; 58659012800","Blockchain-Assisted Lightweight Authenticated Key Agreement Security Framework for Smart Vehicles-Enabled Intelligent Transportation System","2024","IEEE Transactions on Automation Science and Engineering","10.1109/TASE.2024.3381068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189621544&doi=10.1109%2fTASE.2024.3381068&partnerID=40&md5=92798b9c082fc60a3ae7c37057643e68","Intelligent Transportation Systems (ITS) supported by smart vehicles have revolutionized modern transportation, offering a wide range of applications and services, such as electronic toll collection, collision avoidance alarms, real-time parking management, and traffic planning. However, the open communication channels among various entities, including smart vehicles, roadside infrastructure, and fleet management systems, introduce security and privacy vulnerabilities. To address these concerns, we propose a novel security framework, named blockchain-assisted lightweight authenticated key agreement security framework for smart vehicles-enabled ITS (BASF-ITS), which ensures data protection both during transit and while stored on cloud servers. BASF-ITS employs a combination of efficient cryptographic primitives, including hash functions, XOR operator, ASCON, elliptic curve cryptography, and physical unclonable functions (PUF), to design authenticated key agreement schemes. The inclusion of PUF significantly enhances the system&#x2019;s resistance to physical attacks, preventing tampering attempts. To ensure data integrity when stored on the cloud, our framework incorporates blockchain technology. By leveraging the immutability and decentralization of the blockchain, BASF-ITS effectively safeguards data at rest, providing an additional layer of security. We rigorously analyze the security of BASF-ITS and demonstrate its strong resistance against potential security ass aults, making it a robust and reliable solution for smart vehicle-enabled ITS. In a comparative analysis with contemporary competing schemes, BASF-ITS emerges as a promising approach, offering superior functionality traits, enhanced security features, and reduced computation, communication, and storage costs. Furthermore, we present a practical implementation of BASF-ITS using blockchain technology, showcasing the computational time versus the &#x201C;transactions per block&#x201D; and the &#x201C;number of mined blocks&#x201D;, confirming its efficiency and viability in real-world scenarios. <italic>Note to Practitioners</italic>&#x2014;This article is motivated by designing an efficient, lightweight, and anonymous blockchain-enabled authenticated security framework that can fix the security and privacy concerns in insecure environments for ITS applications, such as automated road speed enforcement, collision avoidance alarm systems, and traffic planning and management, etc. Authenticated key agreement schemes are extensively used to secure communications in the ITS environment. However, the existing state-of-the-art schemes are not efficient in terms of performance, are not resilient against potential security attacks, and do not support anonymity, untraceability, and unlinkability. Therefore, we propose the authenticated security framework to secure communication among the participating entities in the ITS environment. It utilizes efficient cryptographic primitives, such as hash function, XOR-operator, ASCON, elliptic curve cryptography, and PUF. It is shown that the proposed framework can be deployed as a robust tool to address the ITS security problems efficiently. Moreover, the proposed framework is lightweight and efficient and can be easily deployed in various ITS applications and other resource-constrained environments. However, the participating entities, such as vehicles and roadside units, must be PUF-enabled to deploy the proposed framework. IEEE"
